username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
「싸꼰」사사건건,/channel/UCpVw9Y6pqUiCY0Sgc8Ae9mA,[사사건건 플러스] 이태원 클럽 방문자들은 꼭 알려주세요~! 코로나 걸린 거 죄 아니에요_200513(수),651,651 views,/watch?v=M1TxqSVeRbQ,,2021-04-17 13:28:22.560660
MBCNEWS,/user/MBCnews,"""걸려도 안 아파"" 2030 코로나 불감증?…노년층 위협 (2020.05.11/뉴스데스크/MBC)",29K,29K views,/watch?v=7ae4dklw7aI,,2021-04-17 13:28:22.564500
KTV국민방송,/user/chKTV520,이태원 클럽 방문 교직원 41명·이태원 지역 방문 880명- 학교·학원 구성원 이태원 방문조사 진행상황 교육부 브리핑 5/14(목),8.2K,8.2K views,/watch?v=21kURfLZDz8,,2021-04-17 13:28:22.565574
KTV국민방송,/user/chKTV520,"홍대 주점 확진자 5명, 이태원 클럽과 연관 없어 - 코로나19 발생현황 중앙방역대책본부 정례브리핑 5/14(목)",11K,11K views,/watch?v=Pz0HQk8lKss,,2021-04-17 13:28:22.566599
KTV국민방송,/user/chKTV520,이태원 클럽 감염 후 4차 전파 1명 확인- 코로나19 발생현황 중앙방역대책본부 정례브리핑 5/16(토),7.7K,7.7K views,/watch?v=uXPh3ue6d5I,,2021-04-17 13:28:22.567671
YTN news,/user/ytnnews24,이태원 클럽發 집단감염 주춤...대상자 대다수 검사 / YTN,11K,11K views,/watch?v=eLIJcnnjd4k,,2021-04-17 13:28:22.568859
MBCNEWS,/user/MBCnews,이태원 클럽발 확진 94명…대규모 '2차 감염' 우려 (2020.05.12/뉴스투데이/MBC),3.5K,3.5K views,/watch?v=c5Md4b8EI4Y,,2021-04-17 13:28:22.569948
MBCNEWS,/user/MBCnews,[단독] '고3'이 이태원 클럽 다녀가…대면 수업까지 '아찔' (2020.05.12/뉴스데스크/MBC),198K,198K views,/watch?v=inJB4mTAyEg,,2021-04-17 13:28:22.570993
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,이태원 클럽발 코로나19 바이러스는 '유럽형' / 연합뉴스TV (YonhapnewsTV),246,246 views,/watch?v=zQsCUOEzgBA,,2021-04-17 13:28:22.572286
SBS 뉴스,/user/sbsnews8,'이태원 클럽' 집단 감염 속출…'조용한 전파' 가능성 / SBS,1.3K,1.3K views,/watch?v=2EZIEzESoE4,,2021-04-17 13:28:22.573623
엠빅뉴스,/channel/UCYRrUD5v5j_Ei8sKOo7mhoQ,이태원 클럽 방문자 연락두절 3천 명 계속 숨으면 어떻게 될까? 수억 원대 물어낼 판. 국민들 분노가 들끓고 있다!,563K,563K views,/watch?v=WoDAP65hS7g,,2021-04-17 13:28:22.574730
YTN news,/user/ytnnews24,이태원 클럽發 집단감염 주춤...대상자 대다수 검사 / YTN,1.1K,1.1K views,/watch?v=MqcRa6LBIT8,,2021-04-17 13:28:22.575947
YTN news,/user/ytnnews24,중앙재난안전대책본부 브리핑 (5월 26일)  / YTN,1.6K,1.6K views,/watch?v=bH1NqrQHfeo,,2021-04-17 13:28:22.577145
CTS뉴스,/channel/UClI42JfLL2VyuW-Xhgsawww,"코로나19, 동성애자들이 주로 이용하는 이태원 클럽에서 집단감염 발생 l CTS뉴스",350,350 views,/watch?v=YAApq_RNdU0,,2021-04-17 13:28:22.578251
법률방송,/channel/UChRnJ6XdAANkCOJfmWSASgQ,"“아주 이태원에 오면 죽는 줄 알아“... 코로나 집단감염 그 후, 만연한 성소수자 혐오 / 법률방송뉴스",378,378 views,/watch?v=xTKJxSLana4,,2021-04-17 13:28:22.579317
MBCNEWS,/user/MBCnews,신규 확진 다시 30명대…이태원 클럽발 감염 지속  (2020.05.20/5MBC뉴스),552,552 views,/watch?v=Loa_jJ6nJzM,,2021-04-17 13:28:22.580450
MBCNEWS,/user/MBCnews,"이태원 클럽발 확진 1백 명 넘어…""검사 협조 절실"" (2020.05.12/12MBC뉴스)",15K,15K views,/watch?v=WOGO4ePJuFs,,2021-04-17 13:28:22.581544
KBS News,/user/NewsKBS,이태원 클럽발 코로나19 대구 엄습…방역 비상 / KBS뉴스(News),881,881 views,/watch?v=o6zHXOhFE9A,,2021-04-17 13:28:22.582645
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,"클럽 다녀온 손자에 외할머니 감염…3천명 연락두절, 협조 좀…  / 연합뉴스 (Yonhapnews)",42K,42K views,/watch?v=piMktm7KUXs,,2021-04-17 13:28:29.460972
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,이태원 클럽발 코로나19 전국 확산 우려…방역 비상 / 연합뉴스TV (YonhapnewsTV),818,818 views,/watch?v=ocuFqb3YIzQ,,2021-04-17 13:28:29.462409
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,이태원 클럽 관련 전국서 3만5천명 검사…총 131명 확진 / 연합뉴스 (Yonhapnews),2.9K,2.9K views,/watch?v=mWihOiynahM,,2021-04-17 13:28:29.463946
딜라이브 서울경기케이블TV 구 계정,/channel/UCuH0h3EVpSc_wTwIgodSO-Q,"[광진] 이태원발 코로나19, 선제적 의심자 파악 중요",32,32 views,/watch?v=Oj9LWuEn8uc,,2021-04-17 13:28:29.465096
매일영어공부,/channel/UCG6y7X-PzLAEaw72Quyon6A,"주간 영어기사 9회 - 이태원클럽 코로나 재확산, 성수자혐오로 번지나",133,133 views,/watch?v=7eNtfywnub4,,2021-04-17 13:28:29.466297
대전MBC 뉴스/Daejeon MBC News,/user/tjmbcnews,'이태원 클럽' 관련 코로나19 검사대상자 564명  5월 12일 뉴스데스크/대전MBC,234,234 views,/watch?v=a0wG73Mt2gk,,2021-04-17 13:28:29.467263
KBS News,/user/NewsKBS,이태원 클럽 관련 확진자 계속 증가…“자발적 검사 권고” / KBS뉴스(News),771,771 views,/watch?v=LtZDvHrgq3s,,2021-04-17 13:28:29.468466
